id,name,oid,superclass
0,person,1,person
1,bicycle,2,vehicle
2,car,3,vehicle
3,motorcycle,4,vehicle
4,airplane,5,vehicle
5,bus,6,vehicle
6,train,7,vehicle
7,truck,8,vehicle
8,boat,9,vehicle
9,traffic light,10,road
10,fire hydrant,11,road
11,stop sign,13,road
12,parking meter,14,road
13,bench,15,road
14,bird,16,animal
15,cat,17,animal
16,dog,18,animal
17,horse,19,animal
18,sheep,20,animal
19,cow,21,animal
20,elephant,22,animal
21,bear,23,animal
22,zebra,24,animal
23,giraffe,25,animal
24,backpack,27,accessory
25,umbrella,28,accessory
26,handbag,31,accessory
27,tie,32,accessory
28,suitcase,33,accessory
29,frisbee,34,sport
30,skis,35,sport
31,snowboard,36,sport
32,sports ball,37,sport
33,kite,38,sport
34,baseball bat,39,sport
35,baseball glove,40,sport
36,skateboard,41,sport
37,surfboard,42,sport
38,tennis racket,43,sport
39,bottle,44,kitchenware
40,wine glass,46,kitchenware
41,cup,47,kitchenware
42,fork,48,kitchenware
43,knife,49,kitchenware
44,spoon,50,kitchenware
45,bowl,51,kitchenware
46,banana,52,food
47,apple,53,food
48,sandwich,54,food
49,orange,55,food
50,broccoli,56,food
51,carrot,57,food
52,hot dog,58,food
53,pizza,59,food
54,donut,60,food
55,cake,61,food
56,chair,62,indoor
57,couch,63,indoor
58,potted plant,64,indoor
59,bed,65,indoor
60,dining table,67,indoor
61,toilet,70,indoor
62,tv,72,indoor
63,laptop,73,electronics
64,mouse,74,electronics
65,remote,75,electronics
66,keyboard,76,electronics
67,cell phone,77,electronics
68,microwave,78,appliance
69,oven,79,appliance
70,toaster,80,appliance
71,sink,81,appliance
72,refrigerator,82,appliance
73,book,84,object
74,clock,85,object
75,vase,86,object
76,scissors,87,object
77,teddy bear,88,object
78,hair drier,89,object
79,toothbrush,90,object
