name,max,min,mean,stddev
aeroplane,-19.053642,18.05678,-10.124563,4.464874
bicycle,-20.079279,28.737534,-9.766064,3.931765
bird,-23.394049,20.521946,-10.348666,5.1861687
boat,-23.063309,17.621296,-10.4153595,3.9907486
bottle,-22.31327,21.797441,-9.724132,4.1709995
bus,-21.904783,17.123545,-10.079632,3.5811365
car,-21.10686,32.52003,-7.917916,6.562747
cat,-20.26066,27.146856,-9.457972,4.1547728
chair,-24.380373,20.66242,-8.647548,5.3266373
cow,-22.52958,13.454436,-10.403686,3.012791
diningtable,-20.114128,17.154612,-9.875449,4.010877
dog,-23.624195,26.009628,-9.287005,4.5971947
horse,-21.470474,27.451958,-9.575879,4.739205
motorbike,-21.525476,20.127031,-9.960575,4.0088844
person,-24.216307,30.64069,-2.1390111,9.07955
pottedplant,-22.251797,20.756134,-9.793421,3.8334281
sheep,-21.393524,8.445505,-10.494793,2.8062255
sofa,-23.772034,16.769152,-9.891427,4.319994
train,-22.93947,23.901485,-9.991183,4.7412777
tvmonitor,-23.08475,20.850227,-9.919717,4.2724733
