name,max,min,mean,stddev
aeroplane,-19.053644,18.056782,-10.124563,4.4648743
bicycle,-20.07928,28.73754,-9.766064,3.931765
bird,-23.394053,20.521942,-10.348666,5.1861687
boat,-23.063309,17.621292,-10.4153595,3.990749
bottle,-22.31327,21.797443,-9.724132,4.1709995
bus,-21.904781,17.123549,-10.079632,3.5811362
car,-21.106863,32.52003,-7.917916,6.5627465
cat,-20.260666,27.146866,-9.457972,4.1547728
chair,-24.380365,20.662418,-8.647549,5.3266373
cow,-22.529581,13.4544325,-10.403686,3.0127912
diningtable,-20.114132,17.154612,-9.875449,4.0108776
dog,-23.6242,26.009647,-9.287005,4.5971947
horse,-21.47047,27.451954,-9.575879,4.739205
motorbike,-21.525473,20.12704,-9.960575,4.0088844
person,-24.216303,30.640692,-2.1390116,9.07955
pottedplant,-22.2518,20.75615,-9.793421,3.8334281
sheep,-21.39353,8.445505,-10.494793,2.8062255
sofa,-23.772057,16.769148,-9.891427,4.319994
train,-22.939472,23.901482,-9.991183,4.7412777
tvmonitor,-23.084753,20.850239,-9.919717,4.2724733
